amount,hour_of_day,account_age_days,avg_historical_ticket,amount_zscore,velocity_1h,velocity_24h,distinct_merchants_24h,cross_merchant_velocity_1h,geo_mismatch,new_device,new_payee,payee_added_to_txn_minutes,sim_or_device_change_recent,session_duration_sec,is_international,chargeback_history_count,merchant_risk_score,billing_shipping_mismatch,fraud_pattern,is_fraud
572.04,6,506,854.38,-0.826,0,0,1,0,0,0,0,593,0,81.6,0,0,0.0,0,legit,0
680.55,2,349,656.28,0.092,1,1,1,0,0,0,0,9485,0,541.3,0,0,0.326,0,legit,0
660.84,13,688,593.96,0.281,0,0,1,0,0,0,0,3337,0,56.7,0,0,0.174,0,legit,0
230.18,3,251,668.36,-1.639,1,3,1,0,0,0,1,290,0,32.5,0,0,0.099,0,legit,0
2076.04,3,651,1380.09,1.261,1,2,2,0,1,0,0,1204,0,244.6,0,0,0.194,0,legit,0
756.14,15,95,476.82,1.464,0,2,1,0,0,0,0,3487,0,32.4,0,0,0.103,0,legit,0
1177.59,13,161,682.09,1.816,0,2,2,0,0,0,1,58,0,16.8,0,0,0.034,0,legit,0
1246.8,10,326,939.74,0.817,0,2,2,0,0,0,0,7,0,161.1,0,0,0.0,0,legit,0
467.29,7,844,458.78,0.046,0,3,2,0,0,0,0,708,0,59.4,0,0,0.385,0,legit,0
1208.23,16,831,1008.26,0.496,1,1,1,0,0,0,0,500,0,85.5,0,0,0.13,0,legit,0
800.59,13,75,714.88,0.3,0,2,1,0,0,0,0,196,0,28.1,0,0,0.146,0,legit,0
1157.96,18,50,740.94,1.407,0,2,1,2,0,0,0,2806,0,154.8,0,0,0.288,0,legit,0
1298.99,5,324,1113.83,0.416,0,6,1,0,0,0,0,2075,0,31.6,0,0,0.157,0,legit,0
25.08,0,419,50.0,-1.246,1,1,1,0,0,0,0,2419,0,120.6,0,0,0.4,0,legit,0
1649.32,5,405,1821.92,-0.237,0,2,1,0,0,1,0,311,0,129.5,1,0,0.0,0,legit,0
714.15,14,423,779.41,-0.209,0,2,2,0,0,0,0,12333,0,151.9,0,0,0.109,0,legit,0
59.4,17,298,50.0,0.47,0,1,1,0,0,0,0,12,0,138.3,0,0,0.049,0,legit,0
619.62,20,428,471.38,0.786,0,5,2,0,0,0,0,15064,0,15.6,0,0,0.182,0,legit,0
879.41,4,268,1275.01,-0.776,0,2,1,0,0,0,0,1246,0,80.4,0,0,0.0,0,legit,0
1898.53,8,1134,864.73,2.989,0,2,1,0,0,0,0,246,0,43.8,0,0,0.034,0,legit,0
554.52,22,280,1130.28,-1.273,0,0,2,0,0,0,1,32,0,39.1,0,0,0.095,0,legit,0
1009.46,21,213,911.85,0.268,0,1,1,0,0,0,1,1673,0,102.9,0,0,0.054,0,legit,0
841.53,6,143,1145.0,-0.663,1,1,1,1,0,0,0,9429,0,114.9,0,0,0.249,0,legit,0
1420.58,8,172,2033.61,-0.754,1,1,2,1,0,0,0,120,0,79.2,0,0,0.088,0,legit,0
1604.85,22,440,1795.65,-0.266,1,5,3,0,0,0,0,6,0,55.7,0,0,0.124,0,legit,0
151.21,7,147,96.75,1.407,0,5,3,0,0,0,0,27,0,77.2,0,0,0.429,1,legit,0
228.69,1,1265,512.79,-1.385,0,1,1,1,0,0,1,732,0,88.6,0,0,0.091,0,legit,0
1223.2,6,4,893.27,0.923,0,2,1,1,0,0,0,76,0,31.2,0,0,0.173,0,legit,0
1839.02,18,540,1244.11,1.195,1,1,1,0,0,0,0,2653,1,617.0,0,0,0.474,0,legit,0
841.34,6,342,1355.32,-0.948,1,3,1,1,0,0,1,89,0,232.2,0,0,0.185,0,legit,0
2151.72,17,254,1439.9,1.236,0,0,1,0,0,0,0,178,0,36.7,0,0,0.0,0,legit,0
548.35,6,910,597.43,-0.205,0,2,1,0,0,1,0,101,0,49.2,0,0,0.0,0,legit,0
50.0,2,1305,1344.46,-2.407,0,1,1,0,0,0,1,44,0,8.2,0,0,0.381,0,upi_collect_scam,1
2592.41,0,342,1355.62,2.281,0,3,1,0,0,0,0,583,0,65.9,0,0,0.073,0,legit,0
995.99,4,347,872.41,0.354,0,0,2,0,0,0,0,4544,0,71.2,0,0,0.057,0,legit,0
